Venta,Timestamp,Ticket,Estado/Provincia
968.14,01/09/2024 16:00,17,Ontario
94.87,01/09/2024 16:30,18,São Paulo
746.52,01/09/2024 17:00,19,Florida
854.02,01/09/2024 17:30,20,Texas
673.18,01/09/2024 08:30,2,Ontario
678.18,01/09/2024 08:35,2,Ontario
220.72,01/09/2024 14:20,13,Yucatán
955.72,01/09/2024 08:40,1,Île-de-France
822.51,01/09/2024 11:03,7,Hokkaido
954.72,01/09/2024 08:00,1,Île-de-France
674.18,01/09/2024 08:30,2,Ontario
641.36,01/09/2024 14:30,14,Tamil Nadu
322.26,01/09/2024 09:00,3,New South Wales
202.04,01/09/2024 09:30,4,Karnataka
602.51,01/09/2024 10:00,5,Hokkaido
708.85,01/09/2024 10:30,6,Texas
831.51,01/09/2024 11:00,7,Hokkaido
510.81,01/09/2024 11:30,8,Maharashtra
464.19,01/09/2024 12:00,9,Maharashtra
831.47,01/09/2024 12:30,10,Ontario
633.94,01/09/2024 13:00,11,Bavaria
336.5,01/09/2024 13:30,12,Texas
221.77,01/09/2024 14:00,13,Yucatán
464.19,01/09/2024 12:00,9,Maharashtra
641.36,01/09/2024 14:30,14,Tamil Nadu
21.1,01/09/2024 15:00,15,Ontario
76.81,01/09/2024 15:30,16,Baden-Württemberg
969.14,01/09/2024 16:00,17,Ontario
95.87,01/09/2024 16:30,18,São Paulo
747.52,01/09/2024 17:00,19,Florida
855.02,01/09/2024 17:30,20,Texas
674.18,01/09/2024 08:30,2,Ontario
679.18,01/09/2024 08:35,2,Ontario
221.72,01/09/2024 14:20,13,Yucatán
956.72,01/09/2024 08:40,1,Île-de-France
823.51,01/09/2024 11:03,7,Hokkaido
955.72,01/09/2024 08:00,1,Île-de-France
675.18,01/09/2024 08:30,2,Ontario
642.36,01/09/2024 14:30,14,Tamil Nadu
323.26,01/09/2024 09:00,3,New South Wales
203.04,01/09/2024 09:30,4,Karnataka
603.51,01/09/2024 10:00,5,Hokkaido
709.85,01/09/2024 10:30,6,Texas
832.51,01/09/2024 11:00,7,Hokkaido
511.81,01/09/2024 11:30,8,Maharashtra
465.19,01/09/2024 12:00,9,Maharashtra
832.47,01/09/2024 12:30,10,Ontario
634.94,01/09/2024 13:00,11,Bavaria
337.5,01/09/2024 13:30,12,Texas
222.77,01/09/2024 14:00,13,Yucatán
465.19,01/09/2024 12:00,9,Maharashtra
642.36,01/09/2024 14:30,14,Tamil Nadu
22.1,01/09/2024 15:00,15,Ontario
77.81,01/09/2024 15:30,16,Baden-Württemberg
970.14,01/09/2024 16:00,17,Ontario
96.87,01/09/2024 16:30,18,São Paulo
748.52,01/09/2024 17:00,19,Florida
856.02,01/09/2024 17:30,20,Texas
675.18,01/09/2024 08:30,2,Ontario
680.18,01/09/2024 08:35,2,Ontario
222.72,01/09/2024 14:20,13,Yucatán
957.72,01/09/2024 08:40,1,Île-de-France
824.51,01/09/2024 11:03,7,Hokkaido
956.72,01/09/2024 08:00,1,Île-de-France
676.18,01/09/2024 08:30,2,Ontario
643.36,01/09/2024 14:30,14,Tamil Nadu
324.26,01/09/2024 09:00,3,New South Wales
204.04,01/09/2024 09:30,4,Karnataka
604.51,01/09/2024 10:00,5,Hokkaido
710.85,01/09/2024 10:30,6,Texas
833.51,01/09/2024 11:00,7,Hokkaido
512.81,01/09/2024 11:30,8,Maharashtra
466.19,01/09/2024 12:00,9,Maharashtra
833.47,01/09/2024 12:30,10,Ontario
635.94,01/09/2024 13:00,11,Bavaria
338.5,01/09/2024 13:30,12,Texas
223.77,01/09/2024 14:00,13,Yucatán
466.19,01/09/2024 12:00,9,Maharashtra
643.36,01/09/2024 14:30,14,Tamil Nadu
23.1,01/09/2024 15:00,15,Ontario
78.81,01/09/2024 15:30,16,Baden-Württemberg
971.14,01/09/2024 16:00,17,Ontario
97.87,01/09/2024 16:30,18,São Paulo
749.52,01/09/2024 17:00,19,Florida
857.02,01/09/2024 17:30,20,Texas
676.18,01/09/2024 08:30,2,Ontario
681.18,01/09/2024 08:35,2,Ontario
223.72,01/09/2024 14:20,13,Yucatán
958.72,01/09/2024 08:40,1,Île-de-France
825.51,01/09/2024 11:03,7,Hokkaido
957.72,01/09/2024 08:00,1,Île-de-France
677.18,01/09/2024 08:30,2,Ontario
644.36,01/09/2024 14:30,14,Tamil Nadu
325.26,01/09/2024 09:00,3,New South Wales
205.04,01/09/2024 09:30,4,Karnataka
605.51,01/09/2024 10:00,5,Hokkaido
711.85,01/09/2024 10:30,6,Texas
834.51,01/09/2024 11:00,7,Hokkaido
513.81,01/09/2024 11:30,8,Maharashtra
467.19,01/09/2024 12:00,9,Maharashtra
834.47,01/09/2024 12:30,10,Ontario
636.94,01/09/2024 13:00,11,Bavaria
339.5,01/09/2024 13:30,12,Texas
224.77,01/09/2024 14:00,13,Yucatán
467.19,01/09/2024 12:00,9,Maharashtra
644.36,01/09/2024 14:30,14,Tamil Nadu
24.1,01/09/2024 15:00,15,Ontario
79.81,01/09/2024 15:30,16,Baden-Württemberg
972.14,01/09/2024 16:00,17,Ontario
98.87,01/09/2024 16:30,18,São Paulo
750.52,01/09/2024 17:00,19,Florida
858.02,01/09/2024 17:30,20,Texas
677.18,01/09/2024 08:30,2,Ontario
682.18,01/09/2024 08:35,2,Ontario
224.72,01/09/2024 14:20,13,Yucatán
959.72,01/09/2024 08:40,1,Île-de-France
826.51,01/09/2024 11:03,7,Hokkaido
958.72,01/09/2024 08:00,1,Île-de-France
678.18,01/09/2024 08:30,2,Ontario
645.36,01/09/2024 14:30,14,Tamil Nadu
326.26,01/09/2024 09:00,3,New South Wales
206.04,01/09/2024 09:30,4,Karnataka
606.51,01/09/2024 10:00,5,Hokkaido
712.85,01/09/2024 10:30,6,Texas
835.51,01/09/2024 11:00,7,Hokkaido
514.81,01/09/2024 11:30,8,Maharashtra
468.19,01/09/2024 12:00,9,Maharashtra
835.47,01/09/2024 12:30,10,Ontario
637.94,01/09/2024 13:00,11,Bavaria
340.5,01/09/2024 13:30,12,Texas
225.77,01/09/2024 14:00,13,Yucatán
468.19,01/09/2024 12:00,9,Maharashtra
645.36,01/09/2024 14:30,14,Tamil Nadu
25.1,01/09/2024 15:00,15,Ontario
80.81,01/09/2024 15:30,16,Baden-Württemberg
973.14,01/09/2024 16:00,17,Ontario
99.87,01/09/2024 16:30,18,São Paulo
751.52,01/09/2024 17:00,19,Florida
859.02,01/09/2024 17:30,20,Texas
678.18,01/09/2024 08:30,2,Ontario
683.18,01/09/2024 08:35,2,Ontario
225.72,01/09/2024 14:20,13,Yucatán
960.72,01/09/2024 08:40,1,Île-de-France
827.51,01/09/2024 11:03,7,Hokkaido
959.72,01/09/2024 08:00,1,Île-de-France
679.18,01/09/2024 08:30,2,Ontario
646.36,01/09/2024 14:30,14,Tamil Nadu
327.26,01/09/2024 09:00,3,New South Wales
207.04,01/09/2024 09:30,4,Karnataka
607.51,01/09/2024 10:00,5,Hokkaido
713.85,01/09/2024 10:30,6,Texas
836.51,01/09/2024 11:00,7,Hokkaido
515.81,01/09/2024 11:30,8,Maharashtra
469.19,01/09/2024 12:00,9,Maharashtra
836.47,01/09/2024 12:30,10,Ontario
638.94,01/09/2024 13:00,11,Bavaria
341.5,01/09/2024 13:30,12,Texas
226.77,01/09/2024 14:00,13,Yucatán
469.19,01/09/2024 12:00,9,Maharashtra
646.36,01/09/2024 14:30,14,Tamil Nadu
26.1,01/09/2024 15:00,15,Ontario
81.81,01/09/2024 15:30,16,Baden-Württemberg
974.14,01/09/2024 16:00,17,Ontario
100.87,01/09/2024 16:30,18,São Paulo
752.52,01/09/2024 17:00,19,Florida
860.02,01/09/2024 17:30,20,Texas
679.18,01/09/2024 08:30,2,Ontario
684.18,01/09/2024 08:35,2,Ontario
226.72,01/09/2024 14:20,13,Yucatán
961.72,01/09/2024 08:40,1,Île-de-France
827.51,01/09/2024 11:03,7,Hokkaido
959.72,01/09/2024 08:00,1,Île-de-France
679.18,01/09/2024 08:30,2,Ontario
646.36,01/09/2024 14:30,14,Tamil Nadu
327.26,01/09/2024 09:00,3,New South Wales
207.04,01/09/2024 09:30,4,Karnataka
607.51,01/09/2024 10:00,5,Hokkaido
713.85,01/09/2024 10:30,6,Texas
836.51,01/09/2024 11:00,7,Hokkaido
515.81,01/09/2024 11:30,8,Maharashtra
469.19,01/09/2024 12:00,9,Maharashtra
836.47,01/09/2024 12:30,10,Ontario
638.94,01/09/2024 13:00,11,Bavaria
341.5,01/09/2024 13:30,12,Texas
226.77,01/09/2024 14:00,13,Yucatán
469.19,01/09/2024 12:00,9,Maharashtra
646.36,01/09/2024 14:30,14,Tamil Nadu
26.1,01/09/2024 15:00,15,Ontario
81.81,01/09/2024 15:30,16,Baden-Württemberg
974.14,01/09/2024 16:00,17,Ontario
100.87,01/09/2024 16:30,18,São Paulo
752.52,01/09/2024 17:00,19,Florida
860.02,01/09/2024 17:30,20,Texas
679.18,01/09/2024 08:30,2,Ontario
684.18,01/09/2024 08:35,2,Ontario
226.72,01/09/2024 14:20,13,Yucatán
961.72,01/09/2024 08:40,1,Île-de-France
969.14,01/09/2024 16:00,17,Ontario
95.87,01/09/2024 16:30,18,São Paulo
747.52,01/09/2024 17:00,19,Florida
855.02,01/09/2024 17:30,20,Texas
674.18,01/09/2024 08:30,2,Ontario
679.18,01/09/2024 08:35,2,Ontario
221.72,01/09/2024 14:20,13,Yucatán
956.72,01/09/2024 08:40,1,Île-de-France
823.51,01/09/2024 11:03,7,Hokkaido
955.72,01/09/2024 08:00,1,Île-de-France
675.18,01/09/2024 08:30,2,Ontario
642.36,01/09/2024 14:30,14,Tamil Nadu
323.26,01/09/2024 09:00,3,New South Wales
203.04,01/09/2024 09:30,4,Karnataka
603.51,01/09/2024 10:00,5,Hokkaido
709.85,01/09/2024 10:30,6,Texas
832.51,01/09/2024 11:00,7,Hokkaido
511.81,01/09/2024 11:30,8,Maharashtra
465.19,01/09/2024 12:00,9,Maharashtra
832.47,01/09/2024 12:30,10,Ontario
634.94,01/09/2024 13:00,11,Bavaria
337.5,01/09/2024 13:30,12,Texas
222.77,01/09/2024 14:00,13,Yucatán
465.19,01/09/2024 12:00,9,Maharashtra
642.36,01/09/2024 14:30,14,Tamil Nadu
22.1,01/09/2024 15:00,15,Ontario
77.81,01/09/2024 15:30,16,Baden-Württemberg
970.14,01/09/2024 16:00,17,Ontario
96.87,01/09/2024 16:30,18,São Paulo
748.52,01/09/2024 17:00,19,Florida
856.02,01/09/2024 17:30,20,Texas
675.18,01/09/2024 08:30,2,Ontario
680.18,01/09/2024 08:35,2,Ontario
222.72,01/09/2024 14:20,13,Yucatán
957.72,01/09/2024 08:40,1,Île-de-France
824.51,01/09/2024 11:03,7,Hokkaido
956.72,01/09/2024 08:00,1,Île-de-France
676.18,01/09/2024 08:30,2,Ontario
643.36,01/09/2024 14:30,14,Tamil Nadu
324.26,01/09/2024 09:00,3,New South Wales
204.04,01/09/2024 09:30,4,Karnataka
604.51,01/09/2024 10:00,5,Hokkaido
710.85,01/09/2024 10:30,6,Texas
833.51,01/09/2024 11:00,7,Hokkaido
512.81,01/09/2024 11:30,8,Maharashtra
466.19,01/09/2024 12:00,9,Maharashtra
833.47,01/09/2024 12:30,10,Ontario
635.94,01/09/2024 13:00,11,Bavaria
338.5,01/09/2024 13:30,12,Texas
223.77,01/09/2024 14:00,13,Yucatán
466.19,01/09/2024 12:00,9,Maharashtra
643.36,01/09/2024 14:30,14,Tamil Nadu
23.1,01/09/2024 15:00,15,Ontario
78.81,01/09/2024 15:30,16,Baden-Württemberg
971.14,01/09/2024 16:00,17,Ontario
97.87,01/09/2024 16:30,18,São Paulo
749.52,01/09/2024 17:00,19,Florida
857.02,01/09/2024 17:30,20,Texas
676.18,01/09/2024 08:30,2,Ontario
681.18,01/09/2024 08:35,2,Ontario
223.72,01/09/2024 14:20,13,Yucatán
958.72,01/09/2024 08:40,1,Île-de-France
825.51,01/09/2024 11:03,7,Hokkaido
957.72,01/09/2024 08:00,1,Île-de-France
677.18,01/09/2024 08:30,2,Ontario
644.36,01/09/2024 14:30,14,Tamil Nadu
325.26,01/09/2024 09:00,3,New South Wales
205.04,01/09/2024 09:30,4,Karnataka
605.51,01/09/2024 10:00,5,Hokkaido
711.85,01/09/2024 10:30,6,Texas
834.51,01/09/2024 11:00,7,Hokkaido
513.81,01/09/2024 11:30,8,Maharashtra
467.19,01/09/2024 12:00,9,Maharashtra
834.47,01/09/2024 12:30,10,Ontario
636.94,01/09/2024 13:00,11,Bavaria
339.5,01/09/2024 13:30,12,Texas
224.77,01/09/2024 14:00,13,Yucatán
467.19,01/09/2024 12:00,9,Maharashtra
644.36,01/09/2024 14:30,14,Tamil Nadu
24.1,01/09/2024 15:00,15,Ontario
79.81,01/09/2024 15:30,16,Baden-Württemberg
972.14,01/09/2024 16:00,17,Ontario
98.87,01/09/2024 16:30,18,São Paulo
750.52,01/09/2024 17:00,19,Florida
858.02,01/09/2024 17:30,20,Texas
677.18,01/09/2024 08:30,2,Ontario
682.18,01/09/2024 08:35,2,Ontario
224.72,01/09/2024 14:20,13,Yucatán
959.72,01/09/2024 08:40,1,Île-de-France
826.51,01/09/2024 11:03,7,Hokkaido
958.72,01/09/2024 08:00,1,Île-de-France
678.18,01/09/2024 08:30,2,Ontario
645.36,01/09/2024 14:30,14,Tamil Nadu
326.26,01/09/2024 09:00,3,New South Wales
206.04,01/09/2024 09:30,4,Karnataka
606.51,01/09/2024 10:00,5,Hokkaido
712.85,01/09/2024 10:30,6,Texas
835.51,01/09/2024 11:00,7,Hokkaido
514.81,01/09/2024 11:30,8,Maharashtra
468.19,01/09/2024 12:00,9,Maharashtra
835.47,01/09/2024 12:30,10,Ontario
637.94,01/09/2024 13:00,11,Bavaria
340.5,01/09/2024 13:30,12,Texas
225.77,01/09/2024 14:00,13,Yucatán
468.19,01/09/2024 12:00,9,Maharashtra
645.36,01/09/2024 14:30,14,Tamil Nadu
25.1,01/09/2024 15:00,15,Ontario
80.81,01/09/2024 15:30,16,Baden-Württemberg
973.14,01/09/2024 16:00,17,Ontario
99.87,01/09/2024 16:30,18,São Paulo
751.52,01/09/2024 17:00,19,Florida
859.02,01/09/2024 17:30,20,Texas
678.18,01/09/2024 08:30,2,Ontario
683.18,01/09/2024 08:35,2,Ontario
225.72,01/09/2024 14:20,13,Yucatán
960.72,01/09/2024 08:40,1,Île-de-France
827.51,01/09/2024 11:03,7,Hokkaido
959.72,01/09/2024 08:00,1,Île-de-France
679.18,01/09/2024 08:30,2,Ontario
646.36,01/09/2024 14:30,14,Tamil Nadu
327.26,01/09/2024 09:00,3,New South Wales
207.04,01/09/2024 09:30,4,Karnataka
607.51,01/09/2024 10:00,5,Hokkaido
713.85,01/09/2024 10:30,6,Texas
836.51,01/09/2024 11:00,7,Hokkaido
515.81,01/09/2024 11:30,8,Maharashtra
469.19,01/09/2024 12:00,9,Maharashtra
836.47,01/09/2024 12:30,10,Ontario
638.94,01/09/2024 13:00,11,Bavaria
341.5,01/09/2024 13:30,12,Texas
226.77,01/09/2024 14:00,13,Yucatán
469.19,01/09/2024 12:00,9,Maharashtra
646.36,01/09/2024 14:30,14,Tamil Nadu
26.1,01/09/2024 15:00,15,Ontario
81.81,01/09/2024 15:30,16,Baden-Württemberg
974.14,01/09/2024 16:00,17,Ontario
100.87,01/09/2024 16:30,18,São Paulo
752.52,01/09/2024 17:00,19,Florida
860.02,01/09/2024 17:30,20,Texas
679.18,01/09/2024 08:30,2,Ontario
684.18,01/09/2024 08:35,2,Ontario
226.72,01/09/2024 14:20,13,Yucatán
961.72,01/09/2024 08:40,1,Île-de-France
827.51,01/09/2024 11:03,7,Hokkaido
959.72,01/09/2024 08:00,1,Île-de-France
679.18,01/09/2024 08:30,2,Ontario
646.36,01/09/2024 14:30,14,Tamil Nadu
327.26,01/09/2024 09:00,3,New South Wales
207.04,01/09/2024 09:30,4,Karnataka
607.51,01/09/2024 10:00,5,Hokkaido
713.85,01/09/2024 10:30,6,Texas
836.51,01/09/2024 11:00,7,Hokkaido
515.81,01/09/2024 11:30,8,Maharashtra
469.19,01/09/2024 12:00,9,Maharashtra
836.47,01/09/2024 12:30,10,Ontario
638.94,01/09/2024 13:00,11,Bavaria
341.5,01/09/2024 13:30,12,Texas
226.77,01/09/2024 14:00,13,Yucatán
469.19,01/09/2024 12:00,9,Maharashtra
646.36,01/09/2024 14:30,14,Tamil Nadu
26.1,01/09/2024 15:00,15,Ontario
81.81,01/09/2024 15:30,16,Baden-Württemberg
974.14,01/09/2024 16:00,17,Ontario
100.87,01/09/2024 16:30,18,São Paulo
752.52,01/09/2024 17:00,19,Florida
860.02,01/09/2024 17:30,20,Texas
679.18,01/09/2024 08:30,2,Ontario
684.18,01/09/2024 08:35,2,Ontario
226.72,01/09/2024 14:20,13,Yucatán
961.72,01/09/2024 08:40,1,Île-de-France
